"id","trade_config_id","strategy_id","instrument_name","option_type","option_strike","option_token","entry_direction","entry_time","entry_price","entry_reason","exit_time","exit_price","exit_reason","profit","peak_profit","peak_loss","target_at_entry","stop_loss_at_entry","trail_ladder_at_entry","trail_sl_at","quantity","status","fill_status"
"1363","1072","1","NIFTY","CE","21400","HIST:NIFTY:NFO:2024-01-04:21400:CE","SELL","2024-01-04 09:30:00","199.4500","5min/SMA100","2024-01-04 15:15:00","253.1000","SIGNAL","-53.6500","0.0000","-60.5500","41.6900","62.5300","NULL","NULL","75","CLOSED","BACKTEST"
"1364","1072","2","NIFTY","CE","21400","HIST:NIFTY:NFO:2024-01-04:21400:CE","SELL","2024-01-04 09:45:00","204.0500","15min/SMA50","2024-01-04 15:15:00","253.1000","SIGNAL","-49.0500","0.0000","-55.9500","41.6900","62.5300","NULL","NULL","75","CLOSED","BACKTEST"
"1365","1080","1","NIFTY","PE","21900","HIST:NIFTY:NFO:2024-01-18:21900:PE","SELL","2024-01-12 15:10:00","126.5000","5min/SMA50","2024-01-12 15:15:00","117.6000","SIGNAL","8.9000","0.0000","0.0000","18.4400","27.6500","NULL","NULL","75","CLOSED","BACKTEST"
"1366","1080","2","NIFTY","PE","21900","HIST:NIFTY:NFO:2024-01-18:21900:PE","SELL","2024-01-12 15:10:00","126.5000","5min/SMA50","2024-01-12 15:15:00","117.6000","SIGNAL","8.9000","0.0000","0.0000","18.4400","27.6500","NULL","NULL","75","CLOSED","BACKTEST"
"1367","1081","1","NIFTY","PE","22000","HIST:NIFTY:NFO:2024-01-18:22000:PE","SELL","2024-01-16 09:25:00","80.0500","5min/SMA50","2024-01-16 15:15:00","81.9000","SIGNAL","-1.8500","25.1500","-27.1500","51.8000","77.6900","NULL","NULL","75","CLOSED","BACKTEST"
"1368","1081","2","NIFTY","PE","22000","HIST:NIFTY:NFO:2024-01-18:22000:PE","SELL","2024-01-16 09:25:00","80.0500","5min/SMA50","2024-01-16 15:15:00","81.9000","SIGNAL","-1.8500","25.1500","-27.1500","51.8000","77.6900","NULL","NULL","75","CLOSED","BACKTEST"
"1369","1083","1","NIFTY","CE","21400","HIST:NIFTY:NFO:2024-01-18:21400:CE","SELL","2024-01-18 12:00:00","102.6500","5min/SMA50","2024-01-18 15:15:00","59.6500","SIGNAL","43.0000","62.2000","-18.5500","67.0300","100.5500","NULL","NULL","75","CLOSED","BACKTEST"
"1370","1083","2","NIFTY","CE","21300","HIST:NIFTY:NFO:2024-01-18:21300:CE","SELL","2024-01-18 12:55:00","145.9000","5min/SMA50","2024-01-18 15:15:00","159.7000","SIGNAL","-13.8000","11.4500","-21.6000","67.0300","100.5500","NULL","NULL","75","CLOSED","BACKTEST"
"1371","1086","1","NIFTY","CE","21200","HIST:NIFTY:NFO:2024-01-25:21200:CE","SELL","2024-01-25 09:15:00","229.8000","5min/SMA200","2024-01-25 09:50:00","184.6000","TARGET","45.2000","45.2000","-23.3000","42.2800","63.4200","NULL","NULL","75","CLOSED","BACKTEST"
"1372","1086","2","NIFTY","CE","21200","HIST:NIFTY:NFO:2024-01-25:21200:CE","SELL","2024-01-25 09:15:00","229.8000","5min/SMA200","2024-01-25 09:50:00","184.6000","TARGET","45.2000","45.2000","-23.3000","42.2800","63.4200","NULL","NULL","75","CLOSED","BACKTEST"
"1373","1086","1","NIFTY","CE","21100","HIST:NIFTY:NFO:2024-01-25:21100:CE","SELL","2024-01-25 11:45:00","208.0000","15min/SMA50","2024-01-25 13:25:00","165.0500","TARGET","42.9500","42.9500","-2.7500","42.2800","63.4200","NULL","NULL","75","CLOSED","BACKTEST"
"1374","1086","2","NIFTY","CE","21100","HIST:NIFTY:NFO:2024-01-25:21100:CE","SELL","2024-01-25 11:45:00","208.0000","15min/SMA50","2024-01-25 13:25:00","165.0500","TARGET","42.9500","42.9500","-2.7500","42.2800","63.4200","NULL","NULL","75","CLOSED","BACKTEST"
