"id","trade_config_id","strategy_id","instrument_name","option_type","option_strike","option_token","entry_direction","entry_time","entry_price","entry_reason","exit_time","exit_price","exit_reason","profit","peak_profit","peak_loss","target_at_entry","stop_loss_at_entry","trail_ladder_at_entry","trail_sl_at","quantity","status","fill_status"
"1375","1072","1","NIFTY","CE","21400","HIST:NIFTY:NFO:2024-01-04:21400:CE","SELL","2024-01-04 09:30:00","199.4500","5min/SMA100","2024-01-04 12:20:00","259.8000","STOP_LOSS","-60.3500","0.0000","-60.3500","41.6900","60.0000","25:2,50:25,75:50,100:75","NULL","75","CLOSED","BACKTEST"
"1376","1072","2","NIFTY","CE","21400","HIST:NIFTY:NFO:2024-01-04:21400:CE","SELL","2024-01-04 09:45:00","204.0500","15min/SMA50","2024-01-04 15:15:00","253.1000","SIGNAL","-49.0500","0.0000","-55.9500","41.6900","60.0000","25:2,50:25,75:50,100:75","NULL","75","CLOSED","BACKTEST"
"1377","1080","1","NIFTY","PE","21900","HIST:NIFTY:NFO:2024-01-18:21900:PE","SELL","2024-01-12 15:10:00","126.5000","5min/SMA50","2024-01-12 15:15:00","117.6000","SIGNAL","8.9000","0.0000","0.0000","18.4400","27.6500","25:2,50:25,75:50,100:75","NULL","75","CLOSED","BACKTEST"
"1378","1080","2","NIFTY","PE","21900","HIST:NIFTY:NFO:2024-01-18:21900:PE","SELL","2024-01-12 15:10:00","126.5000","5min/SMA50","2024-01-12 15:15:00","117.6000","SIGNAL","8.9000","0.0000","0.0000","18.4400","27.6500","25:2,50:25,75:50,100:75","NULL","75","CLOSED","BACKTEST"
"1379","1081","1","NIFTY","PE","22000","HIST:NIFTY:NFO:2024-01-18:22000:PE","SELL","2024-01-16 09:25:00","80.0500","5min/SMA50","2024-01-16 12:45:00","78.1000","TRAIL_SL","1.9500","25.1500","-1.2000","51.8000","60.0000","25:2,50:25,75:50,100:75","2.0000","75","CLOSED","BACKTEST"
"1380","1081","2","NIFTY","PE","22000","HIST:NIFTY:NFO:2024-01-18:22000:PE","SELL","2024-01-16 09:25:00","80.0500","5min/SMA50","2024-01-16 12:45:00","78.1000","TRAIL_SL","1.9500","25.1500","-1.2000","51.8000","60.0000","25:2,50:25,75:50,100:75","2.0000","75","CLOSED","BACKTEST"
"1381","1081","1","NIFTY","PE","22200","HIST:NIFTY:NFO:2024-01-18:22200:PE","SELL","2024-01-16 11:55:00","142.8000","5min/SMA50","2024-01-16 13:10:00","204.1000","STOP_LOSS","-61.3000","0.0000","-61.3000","51.8000","60.0000","25:2,50:25,75:50,100:75","NULL","75","CLOSED","BACKTEST"
"1382","1081","2","NIFTY","PE","22200","HIST:NIFTY:NFO:2024-01-18:22200:PE","SELL","2024-01-16 11:55:00","142.8000","5min/SMA50","2024-01-16 13:10:00","204.1000","STOP_LOSS","-61.3000","0.0000","-61.3000","51.8000","60.0000","25:2,50:25,75:50,100:75","NULL","75","CLOSED","BACKTEST"
"1383","1083","1","NIFTY","CE","21400","HIST:NIFTY:NFO:2024-01-18:21400:CE","SELL","2024-01-18 12:00:00","102.6500","5min/SMA50","2024-01-18 15:15:00","59.6500","SIGNAL","43.0000","62.2000","-18.5500","67.0300","60.0000","25:2,50:25,75:50,100:75","25.0000","75","CLOSED","BACKTEST"
"1384","1083","2","NIFTY","CE","21300","HIST:NIFTY:NFO:2024-01-18:21300:CE","SELL","2024-01-18 12:55:00","145.9000","5min/SMA50","2024-01-18 15:15:00","159.7000","SIGNAL","-13.8000","11.4500","-21.6000","67.0300","60.0000","25:2,50:25,75:50,100:75","NULL","75","CLOSED","BACKTEST"
